Year,Country,Funding Category,Foreign Assistance (USD),ODA (USD)
2023,Afghanistan,Health,15229579,15229579.0
2023,Afghanistan,Commodity Aid,3647730,3647730.0
2023,Afghanistan,Social Services,1148978,1148978.0
2023,Afghanistan,Education,31115,31115.0
2023,Afghanistan,Biosphere and Biodiversity,5001,5001.0
2023,Angola,Education,32353,32353.0
2023,Bangladesh,Social Services,4708869,
2023,Bangladesh,Commodity Aid,4085265,3800027.0
2023,Bangladesh,Education,1445038,248815.0
2023,Bangladesh,Water and Sanitation,1358068,
2023,Bangladesh,Health,500558,
2023,Bangladesh,General Programme Assistance,210719,
2023,Bangladesh,Biosphere and Biodiversity,25003,25003.0
2023,Benin,Social Services,8277798,
2023,Benin,Water and Sanitation,1728754,
2023,Benin,Education,1141902,293703.0
2023,Benin,Health,347659,
2023,Benin,Commodity Aid,37900,
2023,Benin,Energy Generation and Supply,35434,
2023,Benin,Biosphere and Biodiversity,35420,35420.0
2023,Benin,Agriculture,2124,
2023,Bhutan,Biosphere and Biodiversity,30500,30500.0
2023,Burkina Faso,Social Services,9044893,
2023,Burkina Faso,Commodity Aid,2040201,2027280.0
2023,Burkina Faso,Water and Sanitation,569014,
2023,Burkina Faso,Education,537477,194115.0
2023,Burkina Faso,Construction and Civil Development,121211,
2023,Burkina Faso,Agriculture,52483,
2023,Burkina Faso,Health,52251,
2023,Burkina Faso,Energy Generation and Supply,13450,
2023,Burundi,Education,552023,64705.0
2023,Burundi,Social Services,11448,
2023,Cambodia,Water and Sanitation,801262,
2023,Cambodia,Education,272409,252362.0
2023,Cambodia,Social Services,195845,
2023,Cambodia,Biosphere and Biodiversity,29390,29390.0
2023,Cambodia,Commodity Aid,8347,
2023,Cambodia,Agriculture,594,
2023,Central African Republic,Education,97058,97058.0
2023,Chad,General Programme Assistance,152358417,81735117.0
2023,Chad,Commodity Aid,56579700,56579700.0
2023,Chad,Health,41974867,41974867.0
2023,Chad,Construction and Civil Development,4130000,4130000.0
2023,Chad,Biosphere and Biodiversity,1834128,1834128.0
2023,Chad,Social Services,1620910,
2023,Chad,Water and Sanitation,1155845,393713.0
2023,Chad,Education,1044982,1044982.0
2023,Comoros,Industry,1940000,1940000.0
2023,Comoros,Education,407035,330078.0
2023,Comoros,Social Services,232891,
2023,Comoros,Construction and Civil Development,40000,40000.0
2023,Comoros,Health,7090,7090.0
2023,Djibouti,Transport and Storage,18045,18045.0
2023,Eritrea,Education,13068337,13068337.0
2023,Ethiopia,Education,3734920,3734920.0
2023,Ethiopia,Commodity Aid,1927226,1900000.0
2023,Ethiopia,Transport and Storage,1478356,729999.0
2023,Ethiopia,Social Services,697961,
2023,Ethiopia,Health,222162,12411.0
2023,Ethiopia,Biosphere and Biodiversity,46006,46006.0
2023,Ethiopia,Water and Sanitation,5105,
2023,Gambia,Education,1309226,291173.0
2023,Gambia,Social Services,679683,
2023,Gambia,Water and Sanitation,365301,
2023,Gambia,Energy Generation and Supply,192853,
2023,Gambia,Construction and Civil Development,144400,
2023,Gambia,Health,75944,
2023,Gambia,Commodity Aid,2017,
2023,Guinea,Energy Generation and Supply,2630000,2630000.0
2023,Guinea,Social Services,1066164,
2023,Guinea,Commodity Aid,1000866,1000027.0
2023,Guinea,Education,465848,194115.0
2023,Guinea,Water and Sanitation,174087,
2023,Guinea,Government and Civil Society,160000,160000.0
2023,Guinea,Health,19995,
2023,Guinea,Agriculture,5990,
2023,Guinea-Bissau,Education,258821,258821.0
2023,Kiribati,Education,99717,74788.0
2023,Liberia,Social Services,1962181,1850000.0
2023,Liberia,Education,644238,531707.0
2023,Liberia,Water and Sanitation,34357,
2023,Liberia,Biosphere and Biodiversity,10001,10001.0
2023,Madagascar,Transport and Storage,2227062,1099703.0
2023,Madagascar,Health,241255,180941.0
2023,Madagascar,Water and Sanitation,64661,
2023,Madagascar,Social Services,47961,
2023,Madagascar,Biosphere and Biodiversity,16970,16970.0
2023,Malawi,Water and Sanitation,2008577,
2023,Malawi,Social Services,1603282,
2023,Malawi,Education,765436,92650.0
2023,Malawi,Commodity Aid,104422,27226.0
2023,Malawi,Agriculture,11996,
2023,Malawi,Health,5647,
2023,Mali,Social Services,5469880,
2023,Mali,Water and Sanitation,896094,
2023,Mali,Education,668535,362203.0
2023,Mali,Health,277092,
2023,Mali,Agriculture,167139,
2023,Mali,Construction and Civil Development,98839,
2023,Mali,Energy Generation and Supply,44447,
2023,Mali,Commodity Aid,31635,27226.0
2023,Mauritania,Social Services,14330296,
2023,Mauritania,Water and Sanitation,1869758,
2023,Mauritania,Health,927419,418303.0
2023,Mauritania,Education,902574,108903.0
2023,Mauritania,Commodity Aid,445414,3061.0
2023,Mauritania,Energy Generation and Supply,182412,101969.0
2023,Mauritania,Construction and Civil Development,11678,
2023,Mauritania,Agriculture,1879,
2023,Mauritania,General Programme Assistance,340,340.0
2023,Mozambique,Social Services,43591,
2023,Myanmar,Commodity Aid,272257,272257.0
2023,Myanmar,Education,32353,32353.0
2023,Myanmar,Biosphere and Biodiversity,25003,25003.0
2023,Nepal,Education,302835,221404.0
2023,Nepal,Commodity Aid,198203,
2023,Nepal,Social Services,136345,
2023,Nepal,Water and Sanitation,132619,
2023,Nepal,Biosphere and Biodiversity,49259,49259.0
2023,Nepal,Health,40481,
2023,Niger,Social Services,12749279,
2023,Niger,Water and Sanitation,3456733,
2023,Niger,Education,2692691,219328.0
2023,Niger,Commodity Aid,2077747,2000054.0
2023,Niger,General Programme Assistance,1813619,1333402.0
2023,Niger,Health,730741,
2023,Niger,Biosphere and Biodiversity,24864,24864.0
2023,Niger,Agriculture,18152,
2023,Rwanda,Transport and Storage,3277974,1618634.0
2023,Rwanda,Education,870697,228998.0
2023,Rwanda,Social Services,30422,
2023,Rwanda,Biosphere and Biodiversity,15002,15002.0
2023,Senegal,Social Services,10450690,
2023,Senegal,Education,1819319,796944.0
2023,Senegal,Water and Sanitation,1367913,
2023,Senegal,General Programme Assistance,357483,
2023,Senegal,Health,152790,
2023,Senegal,Commodity Aid,81600,
2023,Senegal,Biosphere and Biodiversity,9001,9001.0
2023,Senegal,Energy Generation and Supply,1295,
2023,Sierra Leone,Social Services,1369626,
2023,Sierra Leone,Education,780548,661118.0
2023,Sierra Leone,Water and Sanitation,377002,
2023,Sierra Leone,Health,13688,
2023,Sierra Leone,Biosphere and Biodiversity,5001,5001.0
2023,Somalia,Construction and Civil Development,26420000,26420000.0
2023,Somalia,Social Services,11931400,751036.0
2023,Somalia,Commodity Aid,8678427,7801347.0
2023,Somalia,Water and Sanitation,4335497,2427015.0
2023,Somalia,Energy Generation and Supply,3724399,3720000.0
2023,Somalia,Agriculture,3006331,
2023,Somalia,Education,1376194,537806.0
2023,Somalia,Health,197710,90813.0
2023,South Sudan,General Programme Assistance,1783402,1783402.0
2023,South Sudan,Commodity Aid,616200,616200.0
2023,South Sudan,Biosphere and Biodiversity,7501,7501.0
2023,Sudan,Commodity Aid,19606421,18961874.0
2023,Sudan,Social Services,7445110,30000.0
2023,Sudan,Health,6646264,6360000.0
2023,Sudan,General Programme Assistance,1112009,348000.0
2023,Sudan,Education,868497,762320.0
2023,Sudan,Water and Sanitation,214186,
2023,Sudan,Biosphere and Biodiversity,5001,5001.0
2023,"Tanzania, United Republic of",Social Services,1293654,9042.0
2023,"Tanzania, United Republic of",Transport and Storage,1056357,521620.0
2023,"Tanzania, United Republic of",Education,271562,256721.0
2023,"Tanzania, United Republic of",Health,169042,169042.0
2023,"Tanzania, United Republic of",Biosphere and Biodiversity,32504,32504.0
2023,"Tanzania, United Republic of",Construction and Civil Development,18084,18084.0
2023,"Tanzania, United Republic of",Water and Sanitation,14797,
2023,Togo,Social Services,2714761,
2023,Togo,Transport and Storage,1097196,504214.0
2023,Togo,Water and Sanitation,516847,
2023,Togo,Education,207362,97058.0
2023,Togo,Commodity Aid,2287,
2023,Togo,Agriculture,849,
2023,Togo,Health,41,
2023,Uganda,Social Services,7824288,
2023,Uganda,Education,2571342,1398968.0
2023,Uganda,Water and Sanitation,1451064,
2023,Uganda,Commodity Aid,326207,32194.0
2023,Uganda,Health,98302,
2023,Uganda,Industry,50531,
2023,Uganda,Biosphere and Biodiversity,32504,32504.0
2023,Uganda,Transport and Storage,9720,9720.0
2023,Uganda,Agriculture,6281,
2023,Yemen,Energy Generation and Supply,52824549,52824549.0
2023,Yemen,Health,35944875,35944875.0
2023,Yemen,Construction and Civil Development,20701797,20701797.0
2023,Yemen,Agriculture,12410000,12410000.0
2023,Yemen,Education,11984441,11984441.0
2023,Yemen,Transport and Storage,11919099,11919099.0
2023,Yemen,Commodity Aid,7516734,7516734.0
2023,Yemen,Social Services,6151908,5175449.0
2023,Yemen,Water and Sanitation,2640809,2640809.0
2023,Yemen,Industry,1660000,1660000.0
2023,Yemen,General Programme Assistance,737210,737210.0
2023,Zambia,Social Services,6003,
2023,Antigua and Barbuda,Energy Generation and Supply,171522,
2023,Belize,Energy Generation and Supply,300000,
2023,Cabo Verde,Social Services,13613,
2023,Cuba,Commodity Aid,50000000,50000000.0
2023,Cuba,Biosphere and Biodiversity,13002,13002.0
2023,Cuba,Social Services,10003,
2023,Dominica,Education,108903,108903.0
2023,Grenada,Energy Generation and Supply,1200000,1200000.0
2023,Grenada,Biosphere and Biodiversity,12002,12002.0
2023,Guyana,Energy Generation and Supply,1200000,1200000.0
2023,Maldives,Transport and Storage,95358644,86439923.0
2023,Maldives,Energy Generation and Supply,2090000,2090000.0
2023,Maldives,Education,32353,32353.0
2023,Maldives,Construction and Civil Development,20000,20000.0
2023,Maldives,Social Services,10890,
2023,Maldives,Energy Generation and Supply,1053635,352293.0
2023,Maldives,Construction and Civil Development,840000,840000.0
2023,Maldives,Social Services,94862,
2023,Maldives,Education,75339,
2023,Maldives,Water and Sanitation,50769,
2023,Maldives,Biosphere and Biodiversity,12002,12002.0
2023,Maldives,Health,8754,
2023,Maldives,Commodity Aid,7546,
2023,Maldives,Agriculture,234,
2023,Papua New Guinea,Biosphere and Biodiversity,11698,11698.0
2023,Puerto Rico,Biosphere and Biodiversity,15447,
2023,Seychelles,Transport and Storage,4360000,
2023,Seychelles,Health,2652472,
2023,Seychelles,Commodity Aid,726896,
2023,Seychelles,Energy Generation and Supply,185135,
2023,Seychelles,General Programme Assistance,150025,
2023,Seychelles,Social Services,21781,
2023,Suriname,Energy Generation and Supply,1200653,1200653.0
2021,Afghanistan,Commodity Aid,127959038,127855763.0
2021,Afghanistan,Health,5272270,5272270.0
2021,Afghanistan,Social Services,627144,467572.0
2021,Afghanistan,Education,137636,137636.0
2021,Afghanistan,Water and Sanitation,32671,26137.0
2021,Bangladesh,Social Services,4014666,217806.0
2021,Bangladesh,Commodity Aid,3734483,2053700.0
2021,Bangladesh,Water and Sanitation,2915840,32235.0
2021,Bangladesh,Education,1612596,885510.0
2021,Bangladesh,General Programme Assistance,440471,95000.0
2021,Bangladesh,Health,416074,108903.0
2021,Benin,Social Services,3554334,
2021,Benin,Water and Sanitation,2218847,586224.0
2021,Benin,Education,464694,246432.0
2021,Benin,Commodity Aid,60442,
2021,Burkina Faso,Social Services,6530399,
2021,Burkina Faso,Water and Sanitation,1089309,
2021,Burkina Faso,Education,604840,237095.0
2021,Burkina Faso,Health,184186,
2021,Burkina Faso,Commodity Aid,28565,
2021,Burkina Faso,Energy Generation and Supply,545,
2021,Burundi,Education,663981,183910.0
2021,Burundi,Health,352821,349200.0
2021,Burundi,Social Services,8640,915.0
2021,Burundi,Commodity Aid,5445,
2021,Cambodia,Education,920681,686619.0
2021,Cambodia,Water and Sanitation,575540,
2021,Cambodia,Social Services,138744,
2021,Cambodia,Commodity Aid,32671,27226.0
2021,Central African Republic,Health,1500000,1500000.0
2021,Chad,Social Services,4190743,
2021,Chad,Biosphere and Biodiversity,1995863,1995863.0
2021,Chad,Water and Sanitation,993041,
2021,Chad,Education,660750,635226.0
2021,Chad,General Programme Assistance,408386,
2021,Chad,Health,41233,
2021,Chad,Commodity Aid,4084,
2021,Comoros,Health,32184000,32184000.0
2021,Comoros,Education,3616689,153782.0
2021,Comoros,Industry,1940000,1940000.0
2021,Comoros,Commodity Aid,484081,429630.0
2021,Comoros,General Programme Assistance,369824,
2021,Comoros,Social Services,264899,
2021,Djibouti,Social Services,36069,
2021,Djibouti,Water and Sanitation,32344,
2021,Djibouti,Education,1693,
2021,Djibouti,Health,1364,
2021,Djibouti,Commodity Aid,555,
2021,Djibouti,Energy Generation and Supply,517,
2021,Congo,Commodity Aid,465351,465351.0
2021,Congo,General Programme Assistance,382000,382000.0
2021,Congo,Social Services,54451,43561.0
2021,Ethiopia,Commodity Aid,5491989,4873177.0
2021,Ethiopia,General Programme Assistance,3337812,3310000.0
2021,Ethiopia,Health,2034787,1783542.0
2021,Ethiopia,Education,1530958,1382910.0
2021,Ethiopia,Transport and Storage,1227879,606316.0
2021,Ethiopia,Social Services,590274,
2021,Ethiopia,Water and Sanitation,113881,
2021,Ethiopia,Biosphere and Biodiversity,10001,10001.0
2021,Gambia,Commodity Aid,536262,535470.0
2021,Gambia,Social Services,387849,
2021,Gambia,Education,232182,231826.0
2021,Gambia,General Programme Assistance,136129,
2021,Gambia,Health,98177,
2021,Gambia,Water and Sanitation,83353,
2021,Gambia,Transport and Storage,81677,40439.0
2021,Guinea,Health,15136449,15001500.0
2021,Guinea,Social Services,1429974,260000.0
2021,Guinea,Government and Civil Society,660000,660000.0
2021,Guinea,Water and Sanitation,502932,
2021,Guinea,Commodity Aid,464750,461382.0
2021,Guinea,Education,289255,
2021,Guinea,Energy Generation and Supply,220885,220000.0
2021,Guinea,Commodity Aid,411481,411481.0
2021,Guinea,Social Services,69058,50000.0
2021,Haiti,Energy Generation and Supply,750000,750000.0
2021,Kiribati,Education,100000,75000.0
2021,Lesotho,Health,294000,294000.0
2021,Liberia,Social Services,1231483,1170000.0
2021,Liberia,Education,599565,449674.0
2021,Liberia,Health,580063,435047.0
2021,Liberia,General Programme Assistance,136129,
2021,Liberia,Water and Sanitation,40434,
2021,Liberia,Biosphere and Biodiversity,15002,15002.0
2021,Liberia,Commodity Aid,5445,
2021,Madagascar,Health,1500194,1125145.0
2021,Madagascar,Biosphere and Biodiversity,15002,15002.0
2021,Malawi,Social Services,1264719,
2021,Malawi,Health,582000,582000.0
2021,Malawi,Education,207126,86048.0
2021,Malawi,Water and Sanitation,162074,
2021,Malawi,Biosphere and Biodiversity,14502,14502.0
2021,Malawi,Commodity Aid,9910,
2021,Mali,Social Services,9015853,
2021,Mali,Water and Sanitation,596671,
2021,Mali,Commodity Aid,542395,460500.0
2021,Mali,Health,527869,4800.0
2021,Mali,General Programme Assistance,190580,
2021,Mali,Education,41670,
2021,Mali,Biosphere and Biodiversity,12002,12002.0
2021,Mauritania,General Programme Assistance,100034604,100023142.0
2021,Mauritania,Health,26363631,26238000.0
2021,Mauritania,Social Services,14969385,19428.0
2021,Mauritania,Industry,8100000,3665755.0
2021,Mauritania,Water and Sanitation,2379500,27226.0
2021,Mauritania,Energy Generation and Supply,974680,547043.0
2021,Mauritania,Commodity Aid,626068,456090.0
2021,Mauritania,Education,571787,
2021,Mauritania,Peace and Security,500000,
2021,Mauritania,Agriculture,57923,
2021,Mozambique,Commodity Aid,5843900,5843900.0
2021,Mozambique,Health,1097600,1097600.0
2021,Mozambique,Education,562349,548736.0
2021,Mozambique,Social Services,61258,
2021,Mozambique,Biosphere and Biodiversity,15002,15002.0
2021,Myanmar,Biosphere and Biodiversity,13002,13002.0
2021,Nepal,Health,1872308,1800000.0
